symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl,reason,hold_days,regime,year
TOST,2021-10-18,2021-11-02,51.603,65.08956121826172,145,1955.5513766479494,take_profit,15,CHOPPY,2021
WRBY,2021-10-18,2021-11-04,57.5949595413208,55.03970152282715,130,-332.183542404174,rank_decay,17,CHOPPY,2021
PTON,2021-10-18,2021-11-05,87.82530152893067,55.52871939086914,85,-2745.2094817352295,stop,18,CHOPPY,2021
SNAP,2021-11-02,2021-11-08,52.304400764465335,54.79020152282715,143,355.4695084457391,regime_exit,6,CHOPPY,2021
GTLB,2021-11-04,2021-11-08,119.26805877685547,130.61824487304688,63,715.0617240600586,regime_exit,4,CHOPPY,2021
ZG,2021-11-05,2021-11-08,66.3023381652832,68.09354335021973,113,202.40618589782787,regime_exit,3,CHOPPY,2021
TOST,2021-11-29,2021-11-30,43.767360305786134,39.91002167510986,171,-659.6049058456429,stop,1,CHOPPY,2021
TOST,2021-11-30,2021-12-01,40.069981681823734,35.239381370544436,187,-903.3222582092287,stop,1,CHOPPY,2021
WRBY,2021-11-29,2021-12-03,50.99177938842774,45.778258934021,147,-766.3875067977908,stop,4,CHOPPY,2021
GTLB,2021-12-01,2021-12-07,89.49863969421386,81.57651786804199,83,-657.5361115722656,stop,6,CHOPPY,2021
MSC,2021-12-07,2021-12-10,6.012,5.459059790611267,1250,-691.1752617359157,stop,3,CHOPPY,2021
PENN,2021-12-10,2021-12-16,49.057919082641604,44.560701522827145,153,-688.0742866516122,stop,6,CHOPPY,2021
ZG,2021-11-29,2021-12-20,54.26831984710693,58.22332015228272,138,545.7900421142585,max_hold,21,CHOPPY,2021
WRBY,2021-12-03,2021-12-23,45.961738929748535,47.39502167510987,163,233.6250874938971,max_hold,20,CHOPPY,2021
PENN,2021-12-16,2022-01-03,44.73930152893067,50.53871939086914,167,968.5027829437249,regime_exit,18,CHOPPY,2022
RIVN,2021-12-20,2022-01-03,90.15996336364746,102.51456121826172,83,1025.4316219329833,regime_exit,14,CHOPPY,2022
MSC,2021-12-23,2022-01-03,5.591159923553467,5.7185400190353395,1344,171.19884832763688,regime_exit,11,CHOPPY,2022
NFLX,2022-01-21,2022-01-26,39.8295,35.89806121826172,188,-739.1104909667979,stop,5,CHOPPY,2022
RUN,2022-01-21,2022-01-27,25.961819847106934,23.223460456848144,289,-791.3858637847902,stop,6,CHOPPY,2022
NU,2022-01-21,2022-01-27,7.555079961776733,6.876219866752624,994,-674.7869344539641,stop,6,CHOPPY,2022
APP,2022-01-27,2022-02-09,59.89955877685547,74.6005,125,1837.6176528930657,take_profit,13,CHOPPY,2022
ESTC,2022-01-26,2022-02-15,82.5447572479248,92.69423725891112,91,923.6026809997542,max_hold,20,CHOPPY,2022
NFLX,2022-01-27,2022-02-16,38.7473381652832,39.72838265991211,193,189.34158746337846,max_hold,20,CHOPPY,2022
META,2022-02-09,2022-02-17,232.464,207.29458670043945,32,-805.4212255859375,stop,8,CHOPPY,2022
PYPL,2022-02-15,2022-02-17,115.6909190826416,104.98959695434571,64,-684.8846162109367,stop,2,CHOPPY,2022
MDB,2022-02-16,2022-02-17,437.0022648925781,408.74087756347654,17,-480.4435845947269,regime_exit,1,CHOPPY,2022
PYPL,2022-04-08,2022-04-14,111.4324190826416,102.10537756347658,67,-624.9117817840564,stop,6,CHOPPY,2022
COIN,2022-04-14,2022-04-22,147.5845732727051,131.25696426391602,50,-816.3804504394534,stop,8,CHOPPY,2022
CROX,2022-04-08,2022-04-26,72.0237572479248,64.88995664978027,104,-741.9152622070313,stop,18,CHOPPY,2022
PLTR,2022-04-08,2022-04-26,12.725399808883667,11.097759885787964,590,-960.3075546264649,stop,18,CHOPPY,2022
SOFI,2022-04-22,2022-04-29,6.402779866218567,6.107759885787964,1173,-346.05843704509766,regime_exit,7,CHOPPY,2022
CROX,2022-04-26,2022-04-29,65.15003663635254,66.29714030456543,115,131.91692184448266,regime_exit,3,CHOPPY,2022
OKTA,2022-04-26,2022-04-29,129.94938244628906,119.07137756347657,57,-620.046278320312,stop,3,CHOPPY,2022
SNAP,2022-08-03,2022-08-16,10.340639694213868,12.584779657363892,726,1629.2456132469176,take_profit,13,CHOPPY,2022
BOOT,2022-08-03,2022-08-16,62.78531984710693,75.45878060913086,119,1508.1418306808466,take_profit,13,CHOPPY,2022
SNAP,2022-08-16,2022-08-19,12.6352196559906,11.536880418777466,594,-652.4135069046015,stop,3,CHOPPY,2022
ZIM,2022-08-03,2022-08-23,49.19819847106933,48.57265817260742,152,-95.0821253662109,max_hold,20,CHOPPY,2022
FTNT,2022-08-16,2022-08-29,53.0458786239624,48.592618629455565,141,-627.909659225464,stop,13,CHOPPY,2022
ZIM,2022-08-29,2022-08-31,39.41868015289307,36.01782015228272,190,-646.1634001159666,stop,2,CHOPPY,2022
EXAS,2022-08-19,2022-09-02,36.9036618347168,36.01782015228272,203,-179.82586153411896,regime_exit,14,CHOPPY,2022
TREX,2022-08-23,2022-09-02,48.8875809173584,46.287241065979,153,-397.8519972610475,regime_exit,10,CHOPPY,2022
ZIM,2022-08-31,2022-09-02,36.162180152893065,34.26134182739258,207,-393.47353337860085,regime_exit,2,CHOPPY,2022
GNRC,2022-11-17,2022-12-07,101.60280152893067,90.55851786804197,73,-806.2327072448747,stop,20,CHOPPY,2022
LNC,2022-11-17,2022-12-07,36.222301528930664,35.20943878173828,207,-209.66258866882396,max_hold,20,CHOPPY,2022
META,2022-11-17,2022-12-07,111.67289694213869,113.70214030456543,67,135.9593052825916,max_hold,20,CHOPPY,2022
GNRC,2022-12-07,2022-12-22,90.92147785949706,89.61042091369629,82,-107.50666955566328,regime_exit,15,CHOPPY,2022
META,2022-12-07,2022-12-22,114.15786030578613,116.88576274108888,65,177.3136582946789,regime_exit,15,CHOPPY,2022
S,2022-12-07,2022-12-22,13.997940267562866,13.413119581222535,536,-313.4638878784174,regime_exit,15,CHOPPY,2022
RIVN,2023-01-13,2023-01-27,16.48290076446533,19.790339923858642,455,1504.8848175239568,take_profit,14,CHOPPY,2023
OMCL,2023-01-13,2023-02-02,57.1741213760376,60.30914030456543,131,410.68747963714634,max_hold,20,CHOPPY,2023
META,2023-01-13,2023-02-02,137.25395571899415,188.39246426391605,54,2761.479461425783,take_profit,20,CHOPPY,2023
S,2023-01-27,2023-02-07,15.050040458679199,16.03785969543457,499,492.92179914093003,regime_exit,11,CHOPPY,2023
NBIX,2023-02-02,2023-02-07,108.216,103.61235969543458,69,-317.6511810150138,regime_exit,5,CHOPPY,2023
RARE,2023-02-02,2023-02-07,47.434680152893065,47.54471939086914,158,17.386199600219825,regime_exit,5,CHOPPY,2023
SHLS,2023-02-16,2023-02-24,26.137169082641602,23.562780609130854,287,-738.8494918975846,stop,8,CHOPPY,2023
ENPH,2023-02-16,2023-03-08,203.20560305786134,217.87337756347657,36,528.0398822021482,max_hold,20,CHOPPY,2023
BOOT,2023-02-16,2023-03-08,81.6229190826416,78.343,92,-301.752555603027,max_hold,20,CHOPPY,2023
META,2023-02-24,2023-03-16,170.73077938842772,204.52013269042968,44,1486.7315452880862,take_profit,20,CHOPPY,2023
HALO,2023-03-08,2023-03-16,42.59501831817627,35.99785969543457,176,-1161.0999176025396,stop,8,CHOPPY,2023
BOOT,2023-03-08,2023-03-17,78.657,71.78614030456544,95,-652.7316710662833,stop,9,CHOPPY,2023
BILL,2023-03-16,2023-03-24,76.78325724792481,69.101517868042,97,-745.128719848633,stop,8,CHOPPY,2023
STEM,2023-03-16,2023-03-29,134.46839694213867,111.57640304565429,55,-1259.0596643066408,stop,13,CHOPPY,2023
CMA,2023-03-17,2023-04-04,43.677180152893065,39.94993878173828,172,-641.0855158386227,stop,18,CHOPPY,2023
BILL,2023-03-24,2023-04-05,69.37847785949707,74.74021939086914,108,579.0680853881842,regime_exit,12,CHOPPY,2023
USB,2023-03-29,2023-04-05,36.29244122314453,35.03978060913086,207,-259.3007471008298,regime_exit,7,CHOPPY,2023
SCHW,2023-04-04,2023-04-05,50.1,48.772258934020996,150,-199.16115989685073,regime_exit,1,CHOPPY,2023
EL,2023-05-18,2023-06-01,200.24970611572263,182.52421939086915,37,-655.8430088195788,stop,14,CHOPPY,2023
ENPH,2023-05-18,2023-06-07,164.04744122314452,181.72581634521487,45,795.5268804931657,max_hold,20,CHOPPY,2023
KEY,2023-05-18,2023-06-07,10.070100191116333,10.997960456848144,746,692.1837582359308,max_hold,20,CHOPPY,2023
ZIM,2023-06-01,2023-06-08,13.256459541320801,13.682580038070679,566,241.1842011604308,regime_exit,7,CHOPPY,2023
ENPH,2023-06-07,2023-06-08,182.45417633056644,181.03719390869142,41,-58.09627929687579,regime_exit,1,CHOPPY,2023
PTON,2023-06-07,2023-06-08,8.116200382232666,8.203560266494751,925,80.8078929424287,regime_exit,1,CHOPPY,2023
CAVA,2023-08-16,2023-08-17,47.02386030578613,42.285258934020995,159,-753.4376181106564,stop,1,CHOPPY,2023
SEDG,2023-08-16,2023-09-05,162.64464733886717,161.34665817260742,46,-59.707501647948675,max_hold,20,CHOPPY,2023
DOCS,2023-08-16,2023-09-05,22.424759159088136,24.141620532989503,335,575.1485602569578,max_hold,20,CHOPPY,2023
PAYC,2023-08-17,2023-09-06,280.96079388427734,292.55373461914064,26,301.4164591064459,max_hold,20,CHOPPY,2023
SEDG,2023-09-05,2023-09-11,161.9933381652832,147.96347451782228,46,-645.3737277832026,stop,6,CHOPPY,2023
DRVN,2023-09-05,2023-09-20,14.428799617767332,13.383179847717285,520,-543.7222804260246,regime_exit,15,CHOPPY,2023
ENPH,2023-09-06,2023-09-20,123.27605877685546,123.72206121826171,60,26.760146484375014,regime_exit,14,CHOPPY,2023
STEM,2023-09-11,2023-09-20,94.38839694213868,94.41079847717285,79,1.769721267698884,regime_exit,9,CHOPPY,2023
VRT,2023-09-28,2023-10-18,37.074,38.6725,202,322.8970000000003,max_hold,20,CHOPPY,2023
ETSY,2023-09-28,2023-10-18,63.8775,67.76420152282715,117,454.74407817077685,max_hold,20,CHOPPY,2023
PTON,2023-09-28,2023-10-18,4.909800095558166,4.7904001903533935,1530,-182.6818549633026,max_hold,20,CHOPPY,2023
MRNA,2023-10-18,2023-10-23,86.18202214050292,78.48271939086914,87,-669.8393392181395,stop,5,CHOPPY,2023
RH,2023-10-18,2023-10-25,240.36977938842773,225.77753573608396,31,-452.3595532226568,regime_exit,7,CHOPPY,2023
PTON,2023-10-18,2023-10-25,4.809600191116333,4.630719866752624,1562,-279.411066656113,regime_exit,7,CHOPPY,2023
ALB,2023-10-23,2023-10-25,136.55255877685548,135.0493673095703,55,-82.67553070068473,regime_exit,2,CHOPPY,2023
PTON,2024-04-17,2024-05-07,3.0961799139976502,4.081820152282715,2427,2392.148858317852,take_profit,20,CHOPPY,2024
AFRM,2024-04-17,2024-05-07,30.931740840911864,34.830201522827146,242,943.4274850234981,max_hold,20,CHOPPY,2024
SHLS,2024-04-17,2024-05-07,8.296559732437133,8.782400190353394,905,439.68561441421616,max_hold,20,CHOPPY,2024
NET,2024-05-07,2024-05-17,74.2782572479248,75.07954335021972,101,80.9298963317873,regime_exit,10,CHOPPY,2024
SAIA,2024-05-07,2024-05-17,407.2729114379883,398.34173461914065,18,-160.76118273925738,regime_exit,10,CHOPPY,2024
SBUX,2024-05-07,2024-05-17,72.645,77.69429847717285,103,520.077743148804,regime_exit,10,CHOPPY,2024
EW,2024-07-31,2024-08-20,63.176099235534664,69.24123725891113,118,715.6862867584226,max_hold,20,CHOPPY,2024
DXCM,2024-07-31,2024-08-20,67.95563969421387,72.70429847717286,110,522.3524661254883,max_hold,20,CHOPPY,2024
